Pincode,Latitude,Longitude
515631,14.5689,77.85624
515631,14.5281,77.857014
515631,14.561111,77.85715
515581,14.2488,78.2588
515581,14.24555,78.2477
515581,14.2888,78.2777
515581,14.24888,78.2999
515571,13.9226755,78.2011756
515631,14.56258,77.85715
515631,14.528,77.85426
515581,14.2411,78.25469
515581,14.2458,78.2589
515581,14.2489,78.2581
515581,14.24003,78.2488
515571,13.9226575,78.201156
515571,13.9226913,78.2011911
515571,13.9226946,78.2011945
515311,13.805102,77.043902
515311,13.805104,77.043904
515311,13.805106,77.043906
515281,14.128106,76.980106
515241,13.96,77.68
515311,13.805103,77.043903
515311,13.805107,77.043907
515311,13.805108,77.043908
515311,13.805109,77.043909
515311,13.805111,77.043911
515281,14.128101,76.980101
515281,14.128102,76.980102
515281,14.128103,76.980103
515281,14.128104,76.980104
515241,13.91,77.72
534176,16.6286,80.5841
813105,84.527,24.239
813105,84.529,24.2354
813105,84.52367,24.2365
813105,84.535,24.2236
813203,87.2628853,25.2987632
813203,87.329,28.257
813203,25.2562172,87.0066554
853202,25.366,84.258
853202,24.36,84.025
853202,25.888,86.999
853202,24.358,84.201
813222,24.623,84.714
813222,24.651,84.123
812005,25.369,86.369
812005,25.008,87.006
812005,25.21607,86.946762
853203,25.4067,6.8052
853203,25.4137352,86.8797372
853203,25.4234256,86.8483
853203,25.404242,86.8226179
812006,24.222,86.365
812006,25.369,86.356
812006,25.365,85.366
853204,25.2153,86.9362
853204,25.2564,86.4022
853204,25.32116,87.1572
853204,25.4685,87.0589
853204,25.366,84.369
853204,25.999,84.698
853204,25.023,86.126
853204,NA,NA
853204,25.3387,87.0585
813209,25.3285,87.5132
813209,26.2465,87.3969
813209,25.3114,87.4201
530052,17.89,83.34
515871,14.95,76.41
515842,15.67,77.41
515842,15.02,76.63
515803,14.68,77.61
515803,15.16,77.39
515775,15.03,77.46
515405,15.02,77.67
515865,14.85,76.86
515865,14.83,76.66
515865,14.6,76.43
515455,14.93,77.58
515455,15.01,77.76
515455,15.19,77.82
515611,15.32,77.19
515611,15.38,77.51
515611,15.49,77.68
515867,14.15,75.81
515867,15.23,76.83
515867,14.59,76.21
515812,15.4,77.53
515812,15.46,77.22
515812,15.52,77.33
515812,15.32,76.54
515832,15.49,77.22
515832,15.03,76.96
515870,15.05,77.17
531173,17.86,83.24
531219,17.99,83.29
515871,14.93,76.42
515871,15,76.38
515842,15.44,76.64
813209,86.26455,24.75533
813209,25.369,84.265
853205,24.306,86.035
853205,24.308,86.29
813210,25.302,87.201
813210,24.897,86.209
813210,25.201,87.201
813210,84.201,87.201
813210,25,87.258
813108,24.8832,86.9267
813108,24.7757,86.872
813108,24.8932,86.9367
813108,24.7617,86.9126
813212,86.123,22.154
813105,84.526,24.234
813203,86.946136,25.2182779
853202,24.205,84.025
853202,25.367,86.325
853202,25.697,85.222
853202,24.69,84.254
813222,24.87176,86.9869722
813222,24.814,84.125
813105,84.253,24.237
813105,84.536,24.321
813105,85.326,25.326
813105,84.5263,24.2342
813105,84.5236,24.236
813203,25.2873053,87.2560803
813203,25.2279357,87.274423
813222,86.562,24.369
813222,24.125,84.521
812005,25.325,87.321
853203,25.3814076,86.8207789
853203,24.87176,86.9869722
853203,25.1536244,86.9342411
853203,2.2798117,87.2941568
515241,13.9101,77.7201
515101,14.23,77.63
503186,18.6845544,78.0773742
503180,18.5329923,77.618717
503180,18.5329923,77.618717
503187,18.3096558,77.9466324
503101,18.2108201,78.4853495
503125,18.2127127,78.549741
503125,18.1894413,78.5477163
503125,18.3201713,78.3363317
503112,18.3258076,78.390802
503112,18.324703,78.3361217
344704,24.98773,71.32367
344032,26.105107,72.175883
342002,26.243,73.021
344706,24.803237,71.218754
503112,18.3212004,78.4365975
503124,18.1745669,78.1611606
503124,18.22808,78.1813655
503309,18.5170016,77.7086999
503108,18.1057875,78.0782538
503302,18.2258833,77.967685
503302,18.2298028,77.9355044
503201,18.508287,77.970239
503187,18.3195315,77.9114506
503101,18.1277984,78.4665583
503101,18.1900503,78.3900424
503125,18.1837178,78.5129407
503306,18.4344583,77.7564916
503123,18.2673626,78.4995897
503102,18.41245,78.689513
503112,18.3096846,78.3703829
503112,18.3330237,78.4974098
503112,18.3439451,78.3037806
503309,18.4592782,77.7291779
516129,13.9,79
516237,14.49,78.91
516237,14.5,78.9
516237,14.48,78.93
516130,13.91,78.94
516130,14.01,78.92
516130,13.97,78.9
516130,14.05,78.91
516130,13.97,78.92
516151,14.3394519,79.2368327
147111,30.2204,76.4964
147111,30.1407,76.6146
788162,24.55,92.59
788162,24.55,92.59
788150,24.76,92.59
788150,24.76,92.59
788150,24.76,92.59
788801,28.61,80.08
788801,28.61,80.08
788161,24.45,92.55
788161,24.45,92.55
788161,24.45,92.55
788161,24.45,92.55
788152,24.08,92.15
788152,24.08,92.15
788152,24.36,92.85
788155,24.68,92.56
788155,24.68,92.56
788155,24.68,92.56
788155,24.68,92.56
208001,NA,NA
788150,24.76,92.59
788801,28.61,80.08
788801,28.61,80.08
788161,24.45,92.55
812006,85.333,25.365
812006,24.365,86.366
812006,85.363,26.363
812006,24.6956,84.3659
812006,25.222,86.2366
812006,25.332,85.633
853204,25.342,87.1397
853204,25.34256,86.1392
853204,25.3422,86.1377
853204,26.4272,86.22447
853204,24.569,86.968
853204,25.3217,87.1774
853204,25.699,86.365
853204,25.352,87.0612
853204,25.365,86.369
853204,24.255,86.365
853204,25.4181,87.1143
813209,25.3295,87.5136
813209,25.3219,87.4136
813209,86.26455,24.5166
813209,25.3269,87.4136
813209,26.2365,87.3959
813209,26.2475,87.3979
813209,86.26455,24.75533
813209,25.9232,85.01946
813209,25.3224,87.4309
853205,24.069,86.239
813210,24.2016,86.214
813210,25.308,87.201
813210,24.289,87.208
813108,86.65224,24.75533
813108,24.35,84.358
813108,86.26455,24.7553
813108,24.9237,86.9325
813108,24.9337,86.9695
503309,18.4952366,77.6680116
503309,18.4416098,77.6221275
503108,18.0959539,78.12191
503108,18.1138237,78.1712936
503108,18.1089555,78.1281076
503302,18.2298028,77.9355044
503310,18.2892081,77.7583006
503310,18.2598359,77.7984784
503310,18.3072385,77.7833154
503310,18.2053774,77.803566
503310,18.2639486,77.8523308
503110,18.171855,78.25187
503110,18.1911816,78.2794166
503145,18.44509,78.240281
503145,18.4101118,78.2721116
503145,18.3661903,78.2836704
503120,18.2792248,78.2341277
503235,18.7618413,77.9210267
503235,18.7918788,77.8730326
503235,18.7458966,77.947735
503235,18.7458966,77.947735
503321,18.4491407,77.8153681
503185,18.6010736,77.9141242
503185,18.6680476,77.7787256
503185,18.701231,77.8537928
503185,18.7154871,77.8797369
503230,18.647018,78.133392
503202,18.6937116,78.052145
503202,18.6937116,78.052145
503246,18.8111298,78.0629922
503246,18.8243042,78.0683075
503246,18.8054964,78.0428765
503305,18.33335,77.6983916
503305,18.3295916,77.7315616
515842,15.65,77.45
515803,14.68,77.66
273001,26.7606,83.3732
505186,18.4676183,79.2467683
505186,18.5116556,79.2236202
505186,18.4948966,79.2676577
505153,18.463131,79.5066198
505153,18.4321487,79.494105
505162,18.5451295,79.4288607
505162,18.5095705,79.3828487
505152,18.4244906,79.4309151
505152,18.4098826,79.5211359
505152,18.4540369,79.4475796
505514,18.7727901,79.3054696
505514,18.783348,79.3229419
505514,18.8216837,79.4019076
505187,18.6941516,79.2989033
505187,18.693075,79.427375
505187,18.7187683,79.3812483
505212,18.5670611,79.5783635
505212,18.6308454,79.5736787
505525,18.5838484,79.2742354
505525,18.5231895,79.2752419
505525,18.5298987,79.2367387
505209,18.7689283,79.5234681
505209,18.7832158,79.4812184
505209,18.6852945,79.5193409
505188,18.6673368,79.514244
505188,18.6681544,79.4216846
505186,18.4729098,79.2167847
505122,18.2584516,79.5357133
505498,18.1982602,79.4410683
505498,18.2069835,79.368333
505498,18.2421096,79.4142865
788161,24.45,92.55
788161,24.45,92.55
524324,NA,NA
501301,NA,NA
500088,NA,NA
500088,NA,NA
500100,NA,NA
501401,NA,NA
501102,NA,NA
500101,NA,NA
500101,NA,NA
500078,NA,NA
